Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
yqhA,0.94,0.54,0.67,0.72,0.67,0.62,0.63,0.43,0.59,6.71
yqhC,0.97,0.61,0.73,0.89,0.68,0.7,0.59,0.33,0.7,15.11
yqhD,0.98,0.67,0.74,0.76,0.71,0.73,0.59,0.7,0.81,16.19
yqhG,0.93,0.59,0.68,0.73,0.69,0.71,0.63,0.7,0.7,14.6
yqhH,0.9,0.57,0.68,0.73,0.67,0.61,0.54,0.31,0.47,4.13
yqiA,0.86,0.52,0.61,0.65,0.65,0.6,0.64,0.45,0.58,9.71
yqiB,0.92,0.66,0.63,0.69,0.64,0.67,0.63,0.47,0.59,7.56
yqiC,0.98,0.59,0.65,0.75,0.67,0.7,0.65,0.43,0.65,0
yqiG,0.99,0.66,0.76,0.89,0.72,0.72,0.67,0.86,0.81,41.73
yqiH,0.9,0.49,0.57,0.5,0.65,0.62,0.62,0.24,0.53,11.24
yqiI,0.95,0.55,0.68,0.44,0.71,0.66,0.65,0.48,0.48,14.77
yqiJ,0.97,0.73,0.71,0.87,0.72,0.72,0.61,0.48,0.35,9.28
yqiK,0.85,0.45,0.47,0.45,0.64,0.51,0.61,0.06,0.29,24
yqjA,0.9,0.66,0.55,0.18,0.71,0.67,0.68,0.59,0.34,10.52
yqjB,0.88,0.59,0.47,0.04,0.72,0.59,0.65,0.35,0.52,0
yqjC,0.92,0.55,0.61,0.45,0.64,0.68,0.62,0.31,0.69,7.17
yqjD,0.92,0.68,0.8,0.91,0.73,0.69,0.67,0.75,0.93,5.47
yqjE,0.96,0.6,0.74,1.02,0.72,0.65,0.66,0.58,0.75,6.01
yqjF,0.91,0.56,0.69,0.75,0.64,0.73,0.63,0.69,0.7,5.27
yqjG,0.94,0.68,0.8,0.97,0.72,0.72,0.65,0.72,0.91,15.96
yqjH,0.88,0.6,0.61,0.71,0.7,0.62,0.63,0.42,0.42,11.39
yqjI,0.97,0.7,0.7,0.83,0.72,0.72,0.66,0.55,0.77,10.14
yqjK,1.03,0.65,0.74,0.9,0.72,0.73,0.66,0.7,0.75,5.95
yraH,0.88,0.54,0.62,0.75,0.61,0.6,0.61,0.41,0.44,6.91
yraI,0.9,0.63,0.23,0.39,0.41,0.61,0.61,0.3,0.16,10.77
yraJ,0.89,0.59,0.75,0.82,0.69,0.64,0.63,0.75,0.79,43.13
