Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
helD,0.89,0.48,0.49,0.44,0.59,0.54,0.67,0.39,0.48,33.35
hemE,0.94,0.68,0.75,0.85,0.71,0.77,0.68,0.87,0.91,15.99
hemF,0.91,0.61,0.65,0.73,0.67,0.64,0.7,0.47,0.48,14.39
hemN,0.94,0.56,0.69,0.52,0.67,0.63,0.62,0.31,0.52,22.48
hemX,0.91,0.56,0.39,0.57,0.63,0.6,0.63,0.38,0.37,18.63
hemY,1.04,0.67,0.69,0.59,0.72,0.74,0.6,0.68,0.85,18.52
hepA,0.87,0.62,0.82,0.93,0.74,0.67,0.62,0.66,0.42,0
hflC,0.9,0.63,0.81,0.77,0.7,0.71,0.67,0.38,0.62,14.01
hflD,0.6,0.4,0.5,0.45,0.46,0.55,0.22,0,0.52,9.24
hflK,0.86,0.66,0.74,0.75,0.66,0.69,0.66,0.85,0.8,19.09
hflX,0.91,0.59,0.42,0.59,0.6,0.59,0.59,0.39,0.35,19.43
hfq,0.8,0.05,0.31,0.49,0,0.59,0.43,0.53,0.45,4.57
hha,0.89,0.55,0.49,0.7,0.58,0.59,0.63,0.17,0.39,4.13
hinT,0.97,0.55,0.73,0.95,0.72,0.7,0.61,0.25,0.55,4.28
hipA,0.97,0.78,0.81,0.95,0.73,0.73,0.62,0.66,0.84,18.99
hipB,1.02,0.7,0.75,0.8,0.66,0.75,0.63,0.3,0.5,4.91
hisA,0.89,0.41,0.5,0.37,0.62,0.55,0.57,0.05,0.17,10.15
hisB,0.92,0.52,0.64,0.64,0.68,0.62,0.63,0.35,0.55,15.75
hisC,0.87,0.55,0.59,0.76,0.67,0.63,0.63,0.25,0.44,17.44
hisD,0.94,0.58,0.51,0.62,0.7,0.6,0.62,0.34,0.38,17.9
hisF,0.72,0.54,0.49,0.58,0.66,0.6,0.56,0.36,0.53,11.03
hisG,0.84,0.54,0.54,0.62,0.66,0.62,0.6,0.23,0.35,13.33
hisH,0.86,0.48,0.58,0.56,0.62,0.57,0.63,0.19,0.25,8.27
hisI,0.85,0.54,0.63,0.72,0.67,0.61,0.66,0.35,0.45,10.41
hisJ,0.95,0.57,0.69,0.7,0.69,0.64,0.67,0.59,0.64,12.37
hisL,0.98,0.68,0.67,0.81,0.69,0.73,0.61,0.48,0.48,0.32
hisM,0.99,0.55,0.68,0.57,0.67,0.66,0.6,0.36,0.42,11.54
hisP,0.95,0.56,0.62,0.69,0.69,0.64,0.7,0.52,0.55,11.7
hisQ,0.91,0.57,0.74,0.76,0.7,0.67,0.63,0.77,0.79,9.35
hlpA,0.86,0.36,0.55,0.81,0.6,0.61,0.54,0.72,0,0
hlyE,0.92,0.51,0.67,0.53,0.67,0.58,0.58,0.22,0.29,16.38
hmp,0.92,0.47,0.57,0.44,0.67,0.57,0.63,0.36,0.42,17.64
hns,0.72,0.28,0.51,0.22,0.38,0.24,0.44,0.08,0.2,7.53
hofB,0.9,0.65,0.78,0.93,0.72,0.67,0.65,0.75,0.8,19.59
hofC,0.91,0.68,0.72,0.9,0.73,0.7,0.64,0.78,0.7,18.58
hofQ,0.84,0.59,0.67,0.77,0.67,0.59,0.66,0.75,0.77,19.14
hokA,0.99,0.63,0.67,0.83,0.65,0.76,0.68,0.67,0.86,2.99
hokB,0.84,0.52,0.66,0.64,0.68,0.66,0.6,0.31,0.4,2.29
hokC,0.94,0.47,0.61,0.69,0.65,0.61,0.58,0.06,0.41,2.08
hokD,0.93,0.5,0.71,0.62,0.67,0.64,0.64,0.54,0.52,2.46
hokE,0.92,0.46,0.63,0.28,0.64,0.56,0.67,0.08,0.3,2.59
holC,0.88,0.34,0.74,0.93,0,0.37,0.5,0.75,0.78,7.22
holD,0.82,0.6,0.61,0.69,0.66,0.62,0.61,0.68,0.79,6.11
holE,0.85,0.63,0.58,0.82,0.58,0.72,0.66,0.82,0.48,3.57
hpt,0.95,0.6,0.74,0.78,0.74,0.71,0.62,0.83,0.67,7.78
hrpA,0.82,0.34,0.55,0.66,0.65,0.47,0.62,0.36,0.35,62.27
hrpB,0.88,0.65,0.69,0.82,0.7,0.69,0.67,0.77,0.8,36.89
hscA,0.43,0.33,0.32,0.29,0.42,0.55,0.4,0.22,0.13,23.31
hscB,0.47,0.37,0.34,0.46,0.34,0.52,0.44,0.18,0.19,9.15
hscC,0.86,0.62,0.73,0.92,0.66,0.66,0.67,0.75,0.79,24.79
hsdM,0.88,0.59,0.7,0.84,0.68,0.63,0.67,0.79,0.76,23.84
hsdR,0.97,0.63,0.72,0.69,0.71,0.71,0.64,0.66,0.54,55.99
hsdS,0.85,0.61,0.74,0.86,0.67,0.65,0.66,0.76,0.83,23.42
hslJ,0.7,0.51,0.54,0.35,0.69,0.51,0.58,0.17,0.15,6.02
hslO,1.02,0.69,0.73,0.89,0.72,0.7,0.63,0.71,0.8,13.23
hslR,0.92,0.61,0.6,0.53,0.67,0.72,0.66,0.46,0.55,6.91
hslU,0.83,0.55,0.67,0.66,0.66,0.56,0.63,0.56,0.63,19.79
hslV,0.87,0.63,0.7,0.84,0.71,0.63,0.65,0.64,0.78,7.13
hsrA,0.91,0.64,0.58,0.58,0.63,0.73,0.55,0.5,0.41,17.55
htgA,0.92,0.58,0.68,0.76,0.71,0.67,0.62,0,0.65,0
htpG,0.96,0.58,0.68,0.69,0.69,0.63,0.61,0.34,0.46,31.48
htpX,0.88,0.61,0.73,0.84,0.69,0.69,0.67,0.56,0.64,11.13
htrC,0.95,0.67,0.77,0.91,0.7,0.74,0.64,0.89,0.86,9.97
htrE,0.88,0.6,0.68,0.69,0.67,0.63,0.66,0.45,0.63,43.33
htrG,0.88,0.62,0.75,0.74,0.71,0.66,0.68,0.79,0.86,0
htrL,1,0.65,0.66,0.77,0.68,0.76,0.6,0.77,0.83,14.33
hupA,0.93,0.57,0.51,0.63,0.58,0.65,0.65,0.48,0.49,3.8
hupB,0.88,0.58,0.53,0.78,0.53,0.6,0.67,0.56,0.64,2.99
hyaA,0.97,0.51,0.7,0.49,0.7,0.62,0.67,0.39,0.55,16.57
hyaB,1,0.56,0.67,0.49,0.73,0.63,0.63,0.38,0.4,25.96
hyaC,0.94,0.51,0.7,0.36,0.68,0.61,0.66,0.36,0.39,11.8
hyaD,0.74,0.61,0.62,0.77,0.5,0.55,0.56,0.4,0.55,10.16
hyaE,0.98,0.6,0.69,0.56,0.68,0.68,0.64,0.5,0.55,5.68
hyaF,0.91,0.5,0.72,0.51,0.69,0.62,0.68,0.45,0.43,12.61
hybA,0.93,0.57,0.68,0.68,0.69,0.65,0.65,0.56,0.68,16.88
hybB,0.96,0.56,0.63,0.54,0.65,0.67,0.6,0.34,0.42,17.11
hybC,0.92,0.53,0.54,0.45,0.65,0.59,0.66,0.38,0.42,25.62
hybD,0.9,0.64,0.69,0.71,0.76,0.71,0.58,0.55,0.71,5.95
hybE,0.94,0.49,0.35,0.32,0.64,0.57,0.66,0.2,0.13,7.26
hybF,0.94,0.54,0.66,0.76,0.66,0.64,0.67,0.23,0.52,5.78
hybG,0.94,0.53,0.66,0.73,0.65,0.73,0.63,0.75,0.71,3.1
hybO,0.97,0.56,0.72,0.53,0.71,0.64,0.65,0.37,0.53,15.8
hycA,0.98,0.59,0.69,0.77,0.73,0.67,0.66,0.81,0.78,7.93
hycB,0.92,0.56,0.65,0.63,0.69,0.65,0.67,0.6,0.67,8.02
hycC,0.97,0.55,0.72,0.62,0.72,0.64,0.64,0.42,0.5,24.29
hycD,0.96,0.54,0.64,0.51,0.67,0.64,0.56,0.19,0.43,12.17
hycE,0.9,0.61,0.71,0.8,0.71,0.69,0.65,0.81,0.83,26.93
hycF,0.94,0.55,0.73,0.58,0.7,0.61,0.61,0.48,0.55,9.33
hycG,0.89,0.49,0.54,0.56,0.63,0.59,0.58,0.33,0.53,10.9
hycH,0.85,0.57,0.68,0.74,0.66,0.62,0.67,0.49,0.52,6.61
hycI,0.84,0.62,0.7,0.77,0.65,0.64,0.63,0.64,0.73,6.02
hydN,0.91,0.46,0.51,0.47,0.64,0.54,0.64,0.25,0.34,6.94
hyfA,0.92,0.59,0.71,0.79,0.71,0.68,0.62,0.6,0.74,9.63
hyfB,0.93,0.5,0.67,0.57,0.69,0.62,0.66,0.51,0.54,26.14
hyfC,0.98,0.65,0.76,0.84,0.7,0.71,0.61,0.77,0.81,13.15
hyfD,0.94,0.52,0.64,0.59,0.69,0.61,0.7,0.42,0.55,20.05
hyfE,0.91,0.57,0.71,0.68,0.65,0.64,0.65,0.71,0.78,8.6
hyfF,0.98,0.61,0.69,0.79,0.74,0.7,0.65,0.51,0.47,20.54
hyfG,1.01,0.66,0.72,0.76,0.72,0.71,0.66,0.53,0.59,25.43
hyfH,0.96,0.62,0.69,0.72,0.62,0.72,0.62,0.5,0.57,9.38
hyfI,0.94,0.48,0.59,0.34,0.65,0.58,0.63,0.23,0.36,10.51
hyfJ,0.86,0.65,0.63,0.54,0.47,0.74,0.57,0.14,0.23,6.4
hyfR,0.9,0.55,0.59,0.69,0.7,0.6,0.64,0.34,0.47,28.63
hyi,0.9,0.45,0.56,0.39,0.66,0.57,0.59,0.02,0.5,12.49
hypA,0.93,0.56,0.64,0.63,0.68,0.61,0.61,0.36,0.35,6.58
hypB,0.97,0.57,0.66,0.43,0.7,0.64,0.63,0.35,0.35,12.12
hypC,1.01,0.57,0.78,0.69,0.71,0.68,0.62,0.49,0.54,3.49
hypD,0.94,0.55,0.7,0.5,0.69,0.59,0.62,0.51,0.49,15.65
hypE,0.96,0.55,0.67,0.68,0.73,0.67,0.62,0.68,0.75,12.32
hypF,0.91,0.53,0.69,0.64,0.72,0.63,0.62,0.41,0.43,31.16
hyuA,0.91,0.56,0.71,0.62,0.69,0.63,0.64,0.36,0.44,19.36
iaaA,0.94,0.51,0.71,0.56,0.7,0.62,0.61,0.32,0.31,12.83
iadA,0.84,0.47,0.59,0.71,0.64,0.6,0.6,0.48,0.46,14.73
iap,0.88,0.59,0.62,0.57,0.63,0.65,0.66,0.45,0.46,14.06
ibpA,1.02,0.73,0.72,0.71,0.76,0.76,0.64,0.62,0.82,6.23
ibpB,0.96,0.62,0.63,0.63,0.7,0.73,0.62,0.54,0.61,6.44
icd,0.89,0.66,0.63,0.87,0.71,0.68,0.61,0.19,0.68,11.48
icdC,0.83,0.54,0.42,0.22,0.42,0.68,0.53,0.06,0.02,0
iclR,0.99,0.64,0.69,0.73,0.7,0.74,0.61,0.66,0.6,11.3
idi,0.95,0.61,0.53,0.78,0.71,0.66,0.65,0.41,0.46,8.51
idnD,0.96,0.68,0.72,0.27,0.74,0.71,0.59,0.33,0.19,14.59
idnK,1,0.51,0.63,0.61,0.67,0.64,0.55,0.4,0.44,8.55
idnO,0.88,0.58,0.68,0.63,0.71,0.67,0.62,0.25,0.52,9.77
idnR,0.88,0.59,0.65,0.69,0.69,0.64,0.66,0.67,0.82,13.95
idnT,0.94,0.59,0.79,0.78,0.76,0.7,0.6,0.49,0.5,13.64
ihfA,0.87,0.44,0.04,0.7,0.44,0.49,0.7,0.29,0.24,4.61
ihfB,0.89,0.46,0.04,0.57,0.48,0.49,0.71,0.28,0.22,4.61
ileS,0.97,0.65,0.72,0.86,0.69,0.71,0.67,0.82,0.85,44.32
ilvA,0.94,0.67,0.57,0.72,0.7,0.67,0.59,0.39,0.34,21.26
ilvB,0.94,0.68,0.64,0.8,0.71,0.67,0.67,0.48,0.4,21.27
ilvC,1.07,0.6,0.73,0.73,0.72,0.75,0.69,0.63,0.45,23.53
ilvD,0.96,0.59,0.64,0.74,0.68,0.69,0.65,0.6,0.7,24.9
ilvE,0.97,0.68,0.59,0.82,0.74,0.71,0.63,0.49,0.41,13.89
ilvG,1.035,0.66,0.645,0.695,0.695,0.74,0.58,0.61,0.465,12.56
ilvH,0.98,0.68,0.65,0.75,0.67,0.72,0.67,0.47,0.48,7.12
ilvI,0.97,0.65,0.69,0.63,0.71,0.74,0.61,0.55,0.5,25.7
ilvL,1,0.62,0.68,0.77,0.72,0.71,0.63,0.45,0.41,0.81
ilvM,0.97,0.69,0.68,0.84,0.69,0.69,0.63,0.43,0.36,2.94
ilvN,0.95,0.62,0.55,0.69,0.69,0.62,0.66,0.4,0.26,7.09
ilvY,0.93,0.63,0.58,0.69,0.73,0.68,0.7,0.55,0.59,12.11
inaA,0.92,0.54,0.79,0.92,0.71,0.67,0.69,0.65,0.81,11.2
insO,0.85,0.52,0.56,0.56,0.65,0.6,0.62,0.47,0.35,0
intA,0.98,0.62,0.82,0.85,0.69,0.78,0.65,0.84,0.75,19.33
intB,0.99,0.66,0.75,0.78,0.72,0.74,0.67,0.64,0.69,19.32
intD,0.94,0.46,0.6,0.45,0.66,0.59,0.59,0.4,0.46,20.32
intE,0.94,0.56,0.65,0.62,0.66,0.62,0.57,0.36,0.37,18.47
intF,0.94,0.6,0.7,0.59,0.66,0.69,0.63,0.42,0.44,23.81
intG,0.95,0.54,0.73,0.61,0.7,0.66,0.6,0.24,0.39,3.42
intQ,0.96,0.66,0.71,0.71,0.63,0.74,0.63,0.56,0.35,19.46
intR,0.85,0.53,0.46,0.52,0.55,0.66,0.58,0.16,0.15,21.58
intS,0.93,0.55,0.73,0.73,0.7,0.63,0.66,0.2,0.66,19.4
iscA,0.87,0.47,0.45,0.35,0.64,0.53,0.63,0.09,0,4.29
iscR,0.89,0.55,0.66,0.71,0.65,0.61,0.68,0.61,0.8,7.05
iscS,0.45,0.27,0.32,0.46,0.36,0.37,0.36,0.17,0.07,18.05
iscU,0.46,0.33,0.4,0.34,0.42,0.53,0.38,0.48,0.46,5.82
ivbL,1.05,0.66,0.73,0.71,0.71,0.73,0.61,0.44,0.5,0.66
ivy,0.91,0.59,0.79,0.83,0.7,0.65,0.63,0.53,0.53,7.06
katE,0.87,0.55,0.68,0.9,0.68,0.62,0.59,0.36,0.65,30.27
katG,0.95,0.61,0.63,1.03,0.7,0.63,0.65,0.51,0.89,32.18
kbaY,0.96,0.53,0.61,0.55,0.65,0.65,0.64,0.41,0.49,11.24
kbaZ,0.93,0.51,0.59,0.55,0.67,0.62,0.66,0.38,0.37,19.35
kbl,0.91,0.59,0.64,0.62,0.64,0.67,0.67,0.16,0.31,16.15
kch,0.96,0.56,0.66,0.72,0.7,0.66,0.68,0.51,0.37,15.94
kdgK,0.96,0.57,0.73,0.91,0.69,0.66,0.62,0.65,0.79,15.36
kdgR,0.96,0.58,0.69,0.42,0.71,0.64,0.62,0.42,0.48,13.63
kdgT,0.8,0.59,0.37,0.3,0.54,0.66,0.68,0.2,0.2,11.04
kdpA,0.92,0.47,0.5,0.52,0.63,0.58,0.66,0.02,0.51,20.75
kdpB,0.93,0.4,0.69,0.45,0.63,0.58,0.58,0.38,0.38,25.08
kdpC,0.92,0.5,0.55,0.5,0.65,0.6,0.64,0.18,0.45,8.31
kdpD,0.87,0.64,0.48,0.78,0.62,0.62,0.66,0.82,0.74,37.15
kdpE,0.93,0.44,0.53,0.4,0.65,0.57,0.62,0.19,0.19,9.33
kdpF,0.97,0.55,0.65,0.47,0.7,0.65,0.61,0.29,0.47,1.12
kdsC,0.85,0.56,0.68,0.96,0.72,0.63,0.68,0.47,0.78,7.92
kdsD,0.95,0.59,0.71,0.78,0.72,0.6,0.68,0.24,0.52,11.29
kduD,0.94,0.48,0.51,0.39,0.67,0.59,0.63,0.23,0.44,9.36
kduI,0.89,0.51,0.66,0.56,0.67,0.6,0.64,0.4,0.41,12.18
kefA,0.94,0.57,0.62,0.67,0.68,0.61,0.61,0.38,0.43,0
kefB,0.94,0.57,0.59,0.58,0.67,0.66,0.6,0.33,0.4,24.96
kefC,0.92,0.59,0.55,0.69,0.74,0.62,0.59,0.31,0.52,24.82
kefF,0.94,0.58,0.68,0.65,0.71,0.68,0.65,0.63,0.71,9
kefG,0.94,0.54,0.7,0.48,0.71,0.63,0.67,0.42,0.6,9.37
kgtP,1.04,0.67,0.76,0.83,0.61,0.74,0.67,0.52,0.67,19.73
kil,0.97,0.51,0.64,0.52,0.67,0.7,0.68,0.27,0.45,0
kptA,0.93,0.64,0.72,0.79,0.71,0.74,0.68,0.71,0.72,9.02
ksgA,0.91,0.68,0.8,0.88,0.68,0.73,0.67,0.71,0.87,0
lacA,0.96,0.59,0.72,0.64,0.69,0.73,0.62,0.68,0.4,8.37
lacI,0.98,0.65,0.77,0.83,0.73,0.72,0.67,0.75,0.58,15.41
lacY,0.97,0.55,0.63,0.59,0.74,0.62,0.62,0.47,0.56,16.7
lamB,0.91,0.56,0.59,0.69,0.7,0.6,0.62,0.42,0.49,22.94
lar,0.96,0.51,0.72,0.57,0.67,0.64,0.58,0.27,0.36,0
ldcA,0.86,0.62,0.33,0.43,0.46,0.58,0.33,0.37,0.46,12.95
ldcC,0.93,0.56,0.61,0.57,0.71,0.68,0.63,0.53,0.52,32.72
ldhA,0.85,0.59,0.71,0.77,0.66,0.61,0.68,0.67,0.77,14.65
lepA,0.76,0.37,0.65,0.73,0.58,0.48,0.57,0.66,0.69,26.85
leuA,0.95,0.67,0.62,0.77,0.71,0.69,0.69,0.53,0.49,21.44
leuB,0.96,0.64,0.72,0.85,0.72,0.73,0.67,0.83,0.77,14.93
leuC,0.86,0.55,0.69,0.73,0.67,0.63,0.66,0.45,0.55,18.6
leuD,0.88,0.63,0.74,0.88,0.72,0.69,0.67,0.87,0.86,7.82
leuL,0.96,0.69,0.61,0.74,0.72,0.69,0.68,0.54,0.48,0.9
leuO,0.89,0.53,0.7,0.78,0.71,0.61,0.65,0.6,0.58,14.68
lhr,0.83,0.57,0.7,0.74,0.65,0.61,0.53,0.81,0.82,65.92
ligB,0.97,0.65,0.56,0.69,0.6,0.69,0.52,0.55,0.78,28.81
ligT,0.92,0.53,0.6,0.52,0.64,0.64,0.61,0.34,0.44,0
lipA,0.84,0.53,0.38,0.71,0.6,0.62,0.64,0.35,0.27,13.07
lipB,0.58,0.33,0.52,0.56,0.38,0.46,0.55,0,0.45,10.01
lit,1,0.66,0.68,0.73,0.75,0.73,0.65,0.65,0.89,15.6
livF,0.92,0.54,0.51,0.35,0.61,0.66,0.55,0.21,0.31,10.08
livG,0.94,0.54,0.58,0.61,0.66,0.64,0.61,0.19,0.39,10.95
livH,0.77,0.6,0.37,0.28,0.53,0.65,0.57,0.21,0.19,12.23
livJ,0.8,0.61,0.29,0.26,0.46,0.63,0.61,0.41,0.32,16.29
livK,0.94,0.66,0.68,0.84,0.7,0.73,0.63,0.41,0.57,15.59
livM,0.76,0.57,0.49,0.43,0.66,0.67,0.64,0.22,0.39,16.79
lldD,0.98,0.69,0.69,0.8,0.71,0.72,0.68,0.6,0.79,15.57
lldP,1,0.64,0.72,0.73,0.71,0.74,0.56,0.62,0.64,22.43
lldR,0.92,0.61,0.51,0.7,0.54,0.65,0.47,0.38,0.8,10.43
lomR,0.8,0.6,0.7,0.59,0.56,0.73,0.69,0.24,0.44,2.44
lon,0.88,0.78,0.89,0.99,0.51,0.81,0.69,0.84,0.88,35.72
lpcA,0.95,0.53,0.91,0.89,0.68,0.89,0.46,1.01,0.95,7.22
lpd,0.39,0.18,0.4,0.34,0.27,0.29,0.41,0.46,0.63,0
lplA,0.94,0.7,0.66,0.86,0.73,0.7,0.68,0.81,0.86,15.62
lpp,0.89,0.42,0.31,0.47,0.62,0.58,0.68,0.55,0.36,3.1
lpxL,0.91,0.53,0.64,0.37,0.61,0.66,0.33,0.65,0.45,15.3
lpxM,0.93,0.57,0.62,0.03,0.59,0.58,0.08,0.95,0.89,14.41
lrhA,0.97,0.57,0.68,0.51,0.7,0.63,0.71,0.34,0.31,13.68
lrp,0.83,0.44,0.51,0.37,0.67,0.56,0.61,0.35,0.42,7.82
lsrB,0.95,0.78,0.83,0.99,0.73,0.73,0.65,0.77,0.89,15.2
lsrC,0.86,0.66,0.8,0.89,0.7,0.68,0.64,0.79,0.87,14.01
lsrD,0.91,0.58,0.65,0.64,0.66,0.63,0.65,0.23,0.41,12.25
lsrF,0.82,0.6,0.71,0.73,0.67,0.61,0.63,0.79,0.82,11.87
lsrG,0.93,0.44,0.53,0.38,0.65,0.6,0.66,0,0.35,4.41
ltaE,0.95,0.57,0.55,0.62,0.72,0.59,0.67,0.33,0.39,13.97
luxS,0.9,0.64,0.76,0.86,0.69,0.65,0.66,0.79,0.83,6.87
lysA,0.96,0.59,0.62,0.63,0.67,0.59,0.64,0.29,0.38,17.91
lysC,0.9,0.61,0.69,0.8,0.68,0.68,0.67,0.35,0.33,17.36
lysP,0.9,0.5,0.53,0.59,0.63,0.61,0.64,0.39,0.45,21.63
lysR,0.89,0.62,0.67,0.66,0.67,0.68,0.65,0.7,0.69,13.33
lysS,0.97,0.54,0.76,0.94,0.72,0.7,0.66,0.46,0.83,21.44
lysU,0.92,0.55,0.76,0.81,0.73,0.68,0.68,0.63,0.79,21.51
lyxK,0.97,0.6,0.66,0.61,0.68,0.69,0.58,0.65,0.66,24.82
maa,0.95,0.56,0.61,0.48,0.68,0.61,0.7,0.41,0.39,6.77
macA,0.88,0.57,0.61,0.91,0.72,0.63,0.63,0.44,0.38,16.86
macB,0.91,0.55,0.5,0.77,0.67,0.58,0.64,0.3,0.3,27.16
maeB,0.8,0.61,0.59,0.7,0.64,0.69,0.68,0.54,0.49,28.69
mak,0.84,0.54,0.66,0.6,0.68,0.59,0.64,0.33,0.37,13.34
malE,0.92,0.62,0.6,0.53,0.65,0.66,0.64,0.39,0.2,18.7
malF,0.99,0.66,0.82,0.92,0.69,0.74,0.6,0.15,0.71,24.51
malG,0.93,0.54,0.65,0.74,0.66,0.64,0.62,0.58,0.64,12.07
malI,0.77,0.53,0.63,0.63,0.65,0.64,0.61,0.53,0.57,14.34
malK,1.01,0.68,0.77,0.85,0.74,0.74,0.62,0.72,0.54,15.08
malM,1,0.64,0.68,0.7,0.69,0.7,0.66,0.5,0.47,12.85
malP,0.97,0.65,0.67,0.64,0.68,0.69,0.61,0.59,0.59,38.17
malQ,0.95,0.57,0.65,0.68,0.69,0.67,0.66,0.57,0.51,36.98
malS,0.94,0.55,0.69,0.75,0.63,0.64,0.61,0.53,0.36,33.99
malT,1,0.64,0.74,0.76,0.69,0.75,0.61,0.63,0.79,44.67
malX,0.89,0.47,0.55,0.31,0.64,0.61,0.64,0.27,0.27,18.74
malY,0.95,0.52,0.76,0.76,0.7,0.6,0.61,0.58,0.46,19.02
malZ,0.95,0.53,0.7,0.47,0.69,0.62,0.68,0.47,0.54,29.2
manA,0.84,0.4,0.58,0.46,0.64,0.56,0.62,0.05,0.43,16.84
manX,0.92,0.42,0.48,0.38,0.63,0.55,0.63,0.27,0.17,12.61
manY,0.96,0.53,0.71,0.68,0.69,0.66,0.58,0.41,0.62,7.81
manZ,0.92,0.52,0.56,0.59,0.68,0.59,0.66,0.39,0.41,11.63
maoC,0.93,0.52,0.64,0.61,0.69,0.59,0.63,0.39,0.58,0
marA,0.95,0.39,0.43,0.09,0.73,0.55,0.65,0.14,0.01,7.37
marB,1,0.75,0.81,0.96,0.69,0.76,0.65,0.78,0.85,2.73
marC,1.02,0.63,0.76,0.76,0.7,0.7,0.67,0.58,0.78,7.79
marR,1.01,0.83,0.88,1.01,0.72,0.89,0.66,1,0.93,6.75
mazG,0.84,0.53,0.65,0.65,0.65,0.61,0.63,0.42,0.55,12.74
mbhA,0.94,0.54,0.72,0.53,0.7,0.61,0.64,0.19,0.47,0
mcrA,0.96,0.54,0.52,0.46,0.66,0.66,0.62,0.45,0.4,14.05
mcrB,0.9,0.6,0.62,0.54,0.69,0.69,0.61,0.48,0.5,25.07
mcrC,0.93,0.6,0.69,0.75,0.7,0.7,0.67,0.74,0.6,18.95
mdaB,0.94,0.71,0.74,0.82,0.69,0.74,0.67,0.64,0.69,9.01
mdh,0.89,0.6,0.51,0.7,0.6,0.67,0.66,0.3,0.4,12.74
mdlA,0.87,0.57,0.64,0.86,0.68,0.39,0.65,0.37,0.49,25.17
mdlB,0.92,0.57,0.73,0.57,0.7,0.62,0.68,0.27,0.45,25.69
mdoB,0.97,0.62,0.68,0.8,0.71,0.74,0.71,0.92,0.76,35.39
mdoC,0.9,0.6,0.51,0.67,0.66,0.62,0.6,0.35,0.36,17.98
mdoD,0.89,0.68,0.73,0.72,0.56,0.79,0.58,0.35,0.82,25.77
mdoG,0.97,0.64,0.8,0.9,0.73,0.72,0.74,0.39,0.41,24.6
mdoH,0.93,0.7,0.53,0.9,0.5,0.7,0.5,0.66,0.58,40.4
mdtA,0.98,0.64,0.79,0.9,0.72,0.73,0.67,0.81,0.9,17.85
mdtB,0.94,0.44,0.57,0.31,0.66,0.56,0.6,0.1,0.2,40.53
mdtC,0.84,0.58,0.7,0.79,0.66,0.62,0.64,0.72,0.74,40.16
mdtD,0.83,0.59,0.72,0.85,0.67,0.61,0.59,0.67,0.81,17.39
mdtE,0.95,0.68,0.71,0.87,0.7,0.66,0.68,0.62,0.58,16.63
mdtF,0.88,0.64,0.8,0.9,0.72,0.63,0.67,0.61,0.83,42.26
mdtG,0.89,0.45,0.64,0.64,0.65,0.55,0.7,0.45,0.41,15.85
mdtH,0.93,0.6,0.57,0.6,0.7,0.65,0.66,0.51,0.43,16.87
mdtI,0.99,0.52,0.63,0.4,0.69,0.63,0.64,0.27,0.2,4.41
mdtJ,0.84,0.5,0.6,0.73,0.68,0.59,0.64,0.33,0.32,5.63
mdtK,0.87,0.59,0.68,0.79,0.68,0.59,0.63,0.65,0.76,17.81
mdtL,0.94,0.58,0.55,0.75,0.68,0.59,0.66,0.39,0.5,13.79
melA,0.91,0.63,0.73,0.83,0.75,0.67,0.65,0.65,0.85,20.94
melB,0.94,0.58,0.68,0.69,0.69,0.65,0.66,0.56,0.56,20.15
melR,0.91,0.65,0.77,0.86,0.73,0.68,0.68,0.89,0.86,14.52
menA,0.88,0.62,0.59,0.74,0.69,0.66,0.65,0.43,0.42,13.22
menB,0.91,0.56,0.74,1.01,0.74,0.66,0.64,0.31,0.34,12.77
menC,0.89,0.69,0.77,0.93,0.72,0.68,0.68,0.72,0.91,14.97
menD,0.97,0.56,0.73,0.58,0.69,0.66,0.63,0.31,0.51,25.46
menE,0.88,0.58,0.64,0.71,0.64,0.66,0.61,0.48,0.55,21.85
menF,0.91,0.51,0.76,0.69,0.69,0.64,0.62,0.39,0.68,20.57
mepA,0.87,0.53,0.56,0.73,0.67,0.62,0.65,0.3,0.35,11.89
metA,0.9,0.68,0.8,0.93,0.74,0.7,0.7,0.88,0.89,14.22
metB,0.86,0.58,0.54,0.72,0.68,0.64,0.67,0.43,0.33,16.02
metC,0.93,0.61,0.25,0.36,0.43,0.6,0.64,0.26,0.2,16.52
metE,0.97,0.67,0.59,0.78,0.73,0.68,0.65,0.52,0.41,36.02
metF,0.93,0.59,0.51,0.73,0.59,0.63,0.53,0.32,0.79,11.66
metH,0.9,0.68,0.75,0.97,0.71,0.69,0.6,0.53,0.94,53.93
metI,0.91,0.53,0.72,0.58,0.65,0.62,0.65,0.27,0.47,8.08
metJ,0.89,0.57,0.53,0.79,0.58,0.66,0.71,0.37,0.54,5.62
metL,0.86,0.4,0.7,0.17,0.69,0.71,0.51,0.23,0.2,35.38
metN,0.86,0.61,0.72,0.78,0.66,0.63,0.61,0.7,0.79,14.87
metQ,0.85,0.6,0.7,0.78,0.66,0.62,0.65,0.64,0.7,12.25
metR,0.9,0.61,0.66,0.49,0.71,0.64,0.68,0.44,0.43,14.47
mfd,0.88,0.5,0.49,0.44,0.52,0.57,0.61,0.15,0.43,50.81
mglA,0.95,0.53,0.6,0.59,0.67,0.66,0.62,0.42,0.37,22.36
